version,source,date,tool,number,name,tstamps,title,company,rev,date2,source3,number4,value,ref,value5,footprint,datasheet,lib,part,description,names,tstamps6,tstamp,lib7,part8,description9,docs,fp,field,name10,num,name11,type,alias,logical,uri,code,name12,ref13,pin
D,C:\Users\User01\Documents\DC-DC\LM2596_12V\LM2596_12V.sch,6/2/2021 4:28:13 PM,Eeschema (5.1.7)-1,1,/,/,,,,,LM2596_12V.sch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,C:\Users\User01\Documents\DC-DC\LM2596_12V\LM2596_12V.sch,6/2/2021 4:28:13 PM,Eeschema (5.1.7)-1,1,/,/,,,,,LM2596_12V.sch,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,C:\Users\User01\Documents\DC-DC\LM2596_12V\LM2596_12V.sch,6/2/2021 4:28:13 PM,Eeschema (5.1.7)-1,1,/,/,,,,,LM2596_12V.sch,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,C:\Users\User01\Documents\DC-DC\LM2596_12V\LM2596_12V.sch,6/2/2021 4:28:13 PM,Eeschema (5.1.7)-1,1,/,/,,,,,LM2596_12V.sch,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,U1,LM2596S-12,Package_TO_SOT_SMD:TO-263-5_TabPin3,http://www.ti.com/lit/ds/symlink/lm2596.pdf,Regulator_Switching,LM2596S-12,"12V 3A Step-Down Voltage Regulator, TO-263",/,/,60B74A7C,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,D1,1N5818,Diode_SMD:D_1812_4532Metric_Castellated,http://www.vishay.com/docs/88525/1n5817.pdf,Diode,1N5818,"30V 1A Schottky Barrier Rectifier Diode, DO-41",/,/,60B752A8,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,L1,68uH,Inductor_SMD:L_12x12mm_H4.5mm,~,Device,L,Inductor,/,/,60B76EB1,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,C2,220uF/35V,Capacitor_SMD:CP_Elec_4x4.5,~,Device,CP_Small,"Polarized capacitor, small symbol",/,/,60B7CA25,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,C1,470uF/50V,Capacitor_SMD:CP_Elec_4x4.5,~,Device,CP_Small,"Polarized capacitor, small symbol",/,/,60B7CE0A,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,J1,Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,Connector,Conn_01x03_Male,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",/,/,60B80849,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,Connector,Conn_01x03_Male,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",~,Connector*:*_1x??_*,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,Connector,Conn_01x03_Male,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",~,,J,Reference,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,Connector,Conn_01x03_Male,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",~,,Conn_01x03_Male,Value,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,Connector,Conn_01x03_Male,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",~,,,,1,Pin_1,passive,,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,Connector,Conn_01x03_Male,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",~,,,,2,Pin_2,passive,,,,,,,
